# v_mps,gg_exponent
0.750000,3.715729
1.250000,3.969138
1.750000,3.948023
2.250000,3.729496
2.750000,3.454030
3.250000,3.896680
3.750000,3.990689
4.250000,3.937216
4.750000,3.896680
5.250000,3.679079
5.750000,3.679636
6.250000,3.611575
6.750000,3.720852
7.250000,3.291800
7.750000,3.360452
8.250000,3.620245
8.750000,3.291803
9.250000,3.959695
9.750000,3.291801
10.250000,3.702125
10.750000,3.478936
11.250000,3.291803
11.750000,3.768893
12.250000,2.000000
12.750000,2.000000
13.250000,2.000000
13.750000,2.000000
14.250000,2.000000
14.750000,2.000000
