x_m,y_m,w_tr_right_m,w_tr_left_m
0.776208,0.103695,-0.796299,0.637891
0.975354,0.107465,-0.778741,0.636825
1.174484,0.112718,-0.756485,0.646504
1.373670,0.116013,-0.754585,0.655510
1.572902,0.116316,-0.763426,0.642049
1.772160,0.115375,-0.763549,0.640413
1.971450,0.115884,-0.752286,0.653544
2.170743,0.118687,-0.740230,0.669943
2.370037,0.121512,-0.730808,0.649796
2.569330,0.122439,-0.708607,0.616920
2.768574,0.125069,-0.688465,0.572650
2.967465,0.136570,-0.671525,0.586540
3.165527,0.158153,-0.653841,0.612415
3.363172,0.183506,-0.645389,0.613901
3.561191,0.205941,-0.652300,0.610993
3.759833,0.222310,-0.648010,0.612266
3.958926,0.232446,-0.642752,0.613570
4.158242,0.237712,-0.636094,0.608362
4.357642,0.239560,-0.630629,0.605396
4.557064,0.239047,-0.627794,0.608555
4.756486,0.237951,-0.641402,0.606611
4.955898,0.239189,-0.647185,0.603457
5.155225,0.244619,-0.650573,0.612132
5.354403,0.253448,-0.656823,0.629671
5.553489,0.263241,-0.664816,0.631105
5.752572,0.271497,-0.672480,0.625133
5.951688,0.275745,-0.677622,0.633594
6.150721,0.272711,-0.678614,0.660087
6.349179,0.258568,-0.698905,0.689174
6.545974,0.229710,-0.725875,0.728588
6.738880,0.181408,-0.752215,0.808899
6.923121,0.106680,-0.775299,0.909532
7.090660,-0.000262,-0.787331,0.958268
7.232540,-0.139383,-0.794505,1.003040
7.342393,-0.304896,-0.798526,1.080868
7.418653,-0.488286,-0.797562,1.073296
7.463843,-0.681717,-0.795560,0.997577
7.480950,-0.879755,-0.807084,0.954804
7.469531,-1.078386,-0.806443,0.958423
7.424941,-1.272411,-0.810318,0.907202
7.342346,-1.453587,-0.812572,0.804242
7.221781,-1.612048,-0.811237,0.750491
7.068972,-1.739741,-0.799966,0.745860
6.893527,-1.834116,-0.784965,0.769227
6.705226,-1.899412,-0.754390,0.720291
6.510777,-1.943365,-0.724679,0.718350
6.313914,-1.975006,-0.725487,0.728731
6.116522,-2.003294,-0.757693,0.739433
5.919586,-2.034679,-0.785718,0.750342
5.724082,-2.074037,-0.794642,0.752218
5.531050,-2.124166,-0.778554,0.753245
5.340075,-2.181689,-0.749928,0.746520
5.149437,-2.240299,-0.753408,0.743591
4.958422,-2.297623,-0.745776,0.740505
4.767313,-2.354608,-0.733550,0.733005
4.576433,-2.412346,-0.724614,0.721258
4.385920,-2.471289,-0.715107,0.704445
4.195747,-2.531340,-0.696770,0.690546
4.005704,-2.591839,-0.675450,0.691151
3.815773,-2.652730,-0.681911,0.683115
3.626096,-2.714449,-0.683457,0.684596
3.436394,-2.776121,-0.677001,0.690961
3.246208,-2.836288,-0.673304,0.693560
3.055425,-2.894540,-0.662965,0.685780
2.864378,-2.951917,-0.654482,0.674655
2.673674,-3.010439,-0.645926,0.675097
2.483796,-3.071616,-0.654355,0.679876
2.294802,-3.135516,-0.661860,0.675625
2.106071,-3.200229,-0.638622,0.673486
1.916894,-3.263649,-0.644169,0.661870
1.727551,-3.326586,-0.650386,0.650520
1.538456,-3.390272,-0.653849,0.653877
1.349024,-3.452953,-0.649820,0.649878
1.158703,-3.512892,-0.644254,0.649698
0.967791,-3.570941,-0.640606,0.652503
0.777563,-3.631169,-0.630432,0.659123
0.591803,-3.703765,-0.660335,0.633961
0.419763,-3.804140,-0.618793,0.620143
0.276547,-3.942151,-0.559011,0.624921
0.176436,-4.113828,-0.569458,0.628692
0.126175,-4.305985,-0.559064,0.625264
0.126044,-4.504411,-0.556198,0.631739
0.175343,-4.696347,-0.540026,0.629204
0.272830,-4.868670,-0.487664,0.631112
0.413508,-5.007984,-0.474900,0.627426
0.587280,-5.103268,-0.497102,0.622172
0.780236,-5.150055,-0.587925,0.612278
0.979189,-5.153790,-0.590899,0.605668
1.176815,-5.127817,-0.552835,0.616885
1.371867,-5.086002,-0.567455,0.628433
1.565317,-5.037125,-0.587885,0.638806
1.758079,-4.985563,-0.608582,0.648671
1.950892,-4.934198,-0.618148,0.654990
2.144275,-4.885058,-0.627704,0.662062
2.338368,-4.838882,-0.632959,0.670402
2.533065,-4.795434,-0.639976,0.679337
2.728190,-4.754074,-0.647557,0.695074
2.923524,-4.713775,-0.661385,0.718223
3.118803,-4.673214,-0.669195,0.743607
3.313830,-4.631413,-0.674690,0.767240
3.508617,-4.588489,-0.677026,0.785398
3.703363,-4.545403,-0.688264,0.798131
3.898182,-4.502704,-0.704349,0.809237
4.093000,-4.460058,-0.719162,0.822912
4.287813,-4.417413,-0.732166,0.844565
4.482732,-4.375246,-0.738432,0.869276
4.677706,-4.333292,-0.736167,0.885626
4.872542,-4.290676,-0.731651,0.882178
5.067150,-4.247039,-0.730720,0.889206
5.261534,-4.202497,-0.740648,0.901122
5.455668,-4.157084,-0.753927,0.920592
5.649727,-4.111732,-0.753841,0.927499
5.844521,-4.070343,-0.745336,0.933105
6.041210,-4.040469,-0.754720,0.957842
6.239765,-4.032324,-0.767097,1.013595
6.436619,-4.057830,-0.770795,1.180088
6.622714,-4.126389,-0.776249,1.238652
6.786347,-4.238220,-0.779826,1.320176
6.918568,-4.385637,-0.784102,1.339564
7.014674,-4.558536,-0.802907,1.220274
7.071701,-4.747892,-0.816580,1.184656
7.086342,-4.945386,-0.827744,1.176438
7.056401,-5.141664,-0.837683,1.037617
6.982751,-5.326506,-0.838027,0.991950
6.869486,-5.490267,-0.822213,0.817099
6.723485,-5.625527,-0.822973,0.649021
6.553859,-5.729437,-0.823344,0.579684
6.370184,-5.805878,-0.817392,0.594701
6.179818,-5.864112,-0.830471,0.604707
5.987045,-5.914341,-0.833042,0.615078
5.793882,-5.963481,-0.835364,0.624293
5.601119,-6.014429,-0.845120,0.640239
5.408860,-6.067384,-0.845821,0.658710
5.216889,-6.121421,-0.871670,0.671458
5.025151,-6.176270,-0.892499,0.688278
4.833895,-6.232754,-0.918522,0.699111
4.643101,-6.290769,-0.940058,0.718005
4.452305,-6.348797,-0.964788,0.740627
4.261188,-6.405792,-0.990994,0.752214
4.069747,-6.461718,-1.010880,0.767718
3.878012,-6.516648,-1.039186,0.785293
3.685891,-6.570225,-1.057279,0.795798
3.493520,-6.622907,-1.072452,0.810009
3.301543,-6.676997,-1.104532,0.828559
3.110499,-6.734301,-1.133625,0.838250
2.920138,-6.793878,-1.159176,0.852747
2.729632,-6.853065,-1.180174,0.872294
2.538600,-6.910640,-1.193652,0.888941
2.348514,-6.971280,-1.217634,0.894952
2.164193,-7.047380,-1.303272,0.895133
1.994212,-7.151297,-1.488172,0.898624
1.848634,-7.287142,-1.449120,0.894725
1.735324,-7.450817,-1.450281,0.890893
1.659412,-7.634784,-1.480499,0.881588
1.623696,-7.830468,-1.552355,0.877990
1.627727,-8.029195,-1.472572,0.868160
1.669595,-8.223289,-1.339935,0.847450
1.748374,-8.405346,-1.185617,0.835528
1.861706,-8.568067,-1.034905,0.819980
2.003966,-8.706271,-0.940843,0.807685
2.167299,-8.818908,-0.861202,0.773177
2.344829,-8.907563,-0.773072,0.715846
2.532178,-8.973053,-0.713090,0.638984
2.725887,-9.016802,-0.669404,0.620475
2.922751,-9.044403,-0.649138,0.637530
3.120798,-9.063659,-0.648531,0.651794
3.319335,-9.078926,-0.655517,0.653200
3.518250,-9.089825,-0.672775,0.653658
3.717456,-9.094442,-0.679543,0.664149
3.916710,-9.091827,-0.686720,0.676214
4.115743,-9.082419,-0.682506,0.673962
4.314438,-9.067910,-0.688833,0.681629
4.512891,-9.050729,-0.693177,0.688637
4.711265,-9.032776,-0.691761,0.680791
4.909697,-9.015313,-0.689578,0.679218
5.108288,-8.999412,-0.700147,0.682885
5.307062,-8.985564,-0.698845,0.682038
5.505976,-8.973565,-0.686629,0.681158
5.704957,-8.962738,-0.682568,0.678195
5.903913,-8.951878,-0.675471,0.675371
6.102767,-8.939776,-0.665642,0.675826
6.301472,-8.925688,-0.657096,0.668816
6.500045,-8.909716,-0.648166,0.662044
6.698631,-8.893579,-0.619003,0.666197
6.897489,-8.880881,-0.609768,0.671772
7.096694,-8.876288,-0.619868,0.674368
7.295742,-8.884728,-0.621961,0.665449
7.493495,-8.908647,-0.619448,0.663283
7.689183,-8.945700,-0.615180,0.673532
7.882959,-8.991506,-0.579475,0.664847
8.075250,-9.042979,-0.541524,0.650954
8.266385,-9.098455,-0.529691,0.641637
8.457026,-9.155577,-0.537591,0.648927
8.648070,-9.211359,-0.536218,0.640122
8.840229,-9.263189,-0.535975,0.632808
9.033574,-9.310388,-0.541778,0.642155
9.227639,-9.354462,-0.547502,0.647669
9.421961,-9.397276,-0.548254,0.646392
9.616312,-9.439840,-0.553180,0.653092
9.810486,-9.483073,-0.562465,0.673681
10.004167,-9.528335,-0.572364,0.685577
10.197198,-9.576197,-0.582170,0.687120
10.389783,-9.625779,-0.596028,0.675969
10.582144,-9.676274,-0.619335,0.685440
10.774217,-9.727974,-0.642757,0.701807
10.965884,-9.781304,-0.656998,0.713922
11.157192,-9.836027,-0.658990,0.722422
11.348171,-9.891950,-0.676184,0.733873
11.538453,-9.950220,-0.704070,0.738825
11.727588,-10.012129,-0.737258,0.749694
11.915733,-10.077061,-0.751273,0.760437
12.103121,-10.144289,-0.780367,0.772180
12.288263,-10.217596,-0.794137,0.775251
12.467611,-10.304129,-0.793971,0.739236
12.637570,-10.407871,-0.781564,0.727678
12.797273,-10.526774,-0.761532,0.715351
12.950003,-10.654425,-0.719447,0.681768
13.100858,-10.784125,-0.673775,0.668001
13.253503,-10.911534,-0.648681,0.657556
13.410146,-11.033834,-0.636824,0.646667
13.571559,-11.149619,-0.621571,0.633878
13.735658,-11.261411,-0.602229,0.625622
13.896512,-11.377561,-0.572461,0.635897
14.045386,-11.508343,-0.654167,0.705042
14.173903,-11.658811,-0.825864,0.810969
14.276019,-11.827944,-1.011571,0.930228
14.344558,-12.012828,-1.169855,1.021888
14.366105,-12.208541,-0.910002,1.270462
14.330383,-12.402547,-0.881859,1.461154
14.244620,-12.581261,-0.898605,1.508747
14.121564,-12.737664,-0.892736,1.404705
13.970268,-12.867242,-0.896207,1.270172
13.798910,-12.968184,-0.877027,1.018812
13.615727,-13.044434,-0.836697,0.796675
13.426490,-13.103272,-0.788740,0.710833
13.233588,-13.148987,-0.755225,0.622730
13.037751,-13.181469,-0.729968,0.569597
12.839761,-13.199560,-0.701371,0.577746
12.640766,-13.204650,-0.695727,0.592697
12.441568,-13.202082,-0.717758,0.595785
12.242326,-13.198023,-0.729985,0.611984
12.043041,-13.195065,-0.730694,0.638158
11.843743,-13.192421,-0.732276,0.656720
11.644444,-13.189180,-0.730691,0.659414
11.445139,-13.185646,-0.726255,0.663640
11.245818,-13.182377,-0.720816,0.666666
11.046485,-13.179592,-0.718079,0.669117
10.847146,-13.177158,-0.715735,0.671248
10.647806,-13.174871,-0.711838,0.673016
10.448464,-13.172590,-0.707113,0.673432
10.249117,-13.170294,-0.704807,0.676071
10.049762,-13.168597,-0.704198,0.665149
9.850409,-13.169529,-0.700897,0.656480
9.651165,-13.175397,-0.688754,0.660951
9.452163,-13.186175,-0.680294,0.672073
9.253303,-13.198540,-0.686693,0.675689
9.054351,-13.208260,-0.694242,0.678054
8.855268,-13.213598,-0.696850,0.676812
8.656134,-13.216450,-0.695174,0.675834
8.457011,-13.221177,-0.687313,0.674039
8.258021,-13.230761,-0.675814,0.666444
8.059149,-13.243251,-0.661902,0.654552
7.860144,-13.253705,-0.651062,0.641307
7.660960,-13.259812,-0.651246,0.636723
7.461727,-13.263154,-0.650137,0.635269
7.262520,-13.266341,-0.654007,0.633003
7.063373,-13.271149,-0.653148,0.636245
6.864286,-13.277752,-0.642900,0.650227
6.665216,-13.285279,-0.633000,0.659034
6.466140,-13.293576,-0.635026,0.653450
6.267078,-13.303232,-0.645688,0.657217
6.068030,-13.314085,-0.656294,0.669172
5.868992,-13.325690,-0.665368,0.674468
5.670002,-13.338261,-0.662192,0.664726
5.471066,-13.351486,-0.655343,0.657857
5.272078,-13.363342,-0.657169,0.661487
5.072950,-13.371565,-0.663377,0.669474
4.873730,-13.375782,-0.657394,0.671970
4.674491,-13.377775,-0.649808,0.670696
4.475256,-13.380119,-0.656054,0.668206
4.276048,-13.384422,-0.664366,0.676403
4.076876,-13.390454,-0.669125,0.691881
3.877712,-13.396933,-0.672926,0.701311
3.678531,-13.402935,-0.664928,0.695887
3.479343,-13.408709,-0.652863,0.689824
3.280195,-13.415672,-0.654888,0.683483
3.081151,-13.424991,-0.651569,0.676982
2.882179,-13.435444,-0.638866,0.666577
2.683110,-13.443079,-0.633390,0.653656
2.483935,-13.444445,-0.635804,0.653344
2.284854,-13.439076,-0.633995,0.648178
2.085994,-13.428519,-0.631453,0.652391
1.887238,-13.415970,-0.630718,0.675708
1.688281,-13.406616,-0.630629,0.689826
1.489094,-13.403660,-0.640212,0.691726
1.289864,-13.406002,-0.643051,0.690514
1.090661,-13.410870,-0.647379,0.690655
0.891481,-13.416679,-0.654897,0.703027
0.692309,-13.422395,-0.661344,0.714622
0.493132,-13.427264,-0.665961,0.716838
0.293948,-13.430927,-0.668172,0.712757
0.094749,-13.433054,-0.668470,0.712083
-0.104471,-13.433874,-0.668826,0.712989
-0.303716,-13.434658,-0.668298,0.713333
-0.502982,-13.436969,-0.670105,0.710242
-0.702227,-13.441947,-0.665860,0.705252
-0.901384,-13.450143,-0.655486,0.699666
-1.100404,-13.461174,-0.650434,0.704206
-1.299311,-13.473825,-0.660688,0.712436
-1.498138,-13.487144,-0.671217,0.711055
-1.696897,-13.500836,-0.665724,0.710849
-1.895653,-13.514135,-0.657438,0.720423
-2.094533,-13.525450,-0.664554,0.741068
-2.293582,-13.533916,-0.673123,0.752943
-2.492723,-13.540457,-0.678323,0.759247
-2.691854,-13.546657,-0.682403,0.753468
-2.890943,-13.551889,-0.677022,0.749992
-3.089935,-13.549095,-0.666714,0.743768
-3.287078,-13.523784,-0.663731,0.803633
-3.475491,-13.461223,-0.678150,0.850181
-3.644337,-13.356896,-0.694139,0.878281
-3.785591,-13.217380,-0.701936,0.935210
-3.897889,-13.053628,-0.700766,0.998024
-3.985670,-12.875628,-0.691926,0.949578
-4.055730,-12.690115,-0.685908,0.903835
-4.113504,-12.500536,-0.671838,0.860175
-4.161751,-12.308270,-0.658863,0.818481
-4.201956,-12.113964,-0.649197,0.780233
-4.236604,-11.918333,-0.647736,0.759432
-4.268994,-11.722102,-0.640410,0.743682
-4.301235,-11.525723,-0.628541,0.742124
-4.333223,-11.329261,-0.620222,0.729237
-4.363451,-11.132532,-0.624270,0.723106
-4.390323,-10.935347,-0.629772,0.712345
-4.413083,-10.737670,-0.629612,0.709439
-4.432096,-10.539611,-0.625759,0.682987
-4.447863,-10.341275,-0.623335,0.658193
-4.460253,-10.142702,-0.623747,0.641272
-4.468702,-9.943916,-0.631408,0.641076
-4.474130,-9.745006,-0.635758,0.639061
-4.479022,-9.546055,-0.640755,0.633585
-4.484548,-9.347095,-0.646559,0.644578
-4.488318,-9.148086,-0.651863,0.663370
-4.487361,-8.949059,-0.653825,0.681118
-4.481781,-8.750127,-0.645871,0.687410
-4.474789,-8.551249,-0.649059,0.687198
-4.469512,-8.352304,-0.656853,0.693301
-4.467299,-8.153273,-0.671626,0.697618
-4.467846,-7.954209,-0.678899,0.698489
-4.469915,-7.755151,-0.673184,0.696307
-4.471638,-7.556100,-0.652984,0.696622
-4.471262,-7.357049,-0.659449,0.701951
-4.469240,-7.158006,-0.686174,0.705449
-4.468384,-6.958952,-0.689761,0.704747
-4.470008,-6.759905,-0.689377,0.700573
-4.472359,-6.560875,-0.688453,0.691675
-4.473502,-6.361842,-0.688595,0.671902
-4.474126,-6.162805,-0.690648,0.658778
-4.476016,-5.963775,-0.692125,0.642288
-4.479979,-5.764782,-0.696405,0.631682
-4.485785,-5.565844,-0.700291,0.627441
-4.492935,-5.366952,-0.702469,0.648950
-4.500942,-5.168082,-0.688852,0.666968
-4.508879,-4.969188,-0.688409,0.672947
-4.515436,-4.770225,-0.702946,0.684109
-4.520116,-4.571199,-0.721776,0.695780
-4.523932,-4.372162,-0.717576,0.698736
-4.528399,-4.173161,-0.703795,0.693445
-4.534044,-3.974218,-0.701449,0.688986
-4.539789,-3.775307,-0.716961,0.682521
-4.543520,-3.576368,-0.719910,0.675194
-4.543494,-3.377405,-0.713166,0.673100
-4.539297,-3.178483,-0.710568,0.659444
-4.532006,-2.979643,-0.703293,0.645863
-4.523739,-2.780835,-0.690620,0.622667
-4.516767,-2.581975,-0.687098,0.613088
-4.512269,-2.383042,-0.684130,0.601960
-4.509919,-2.184074,-0.681197,0.589824
-4.508535,-1.985105,-0.680931,0.585281
-4.506873,-1.786154,-0.679079,0.585516
-4.503823,-1.587242,-0.684838,0.580191
-4.496815,-1.388450,-0.698906,0.580963
-4.480497,-1.190204,-0.697926,0.603396
-4.449612,-0.993637,-0.728806,0.647528
-4.402372,-0.800223,-0.796495,0.704601
-4.336412,-0.612267,-0.827007,0.776184
-4.245076,-0.435261,-0.826576,0.786018
-4.122072,-0.278684,-0.823003,0.797563
-3.967975,-0.152600,-0.820782,0.826662
-3.790463,-0.062203,-0.817224,0.802312
-3.599662,-0.004437,-0.818696,0.710548
-3.403349,0.030698,-0.823693,0.668761
-3.205291,0.053626,-0.820153,0.664472
-3.006686,0.069768,-0.820567,0.665432
-2.807886,0.081460,-0.823655,0.662379
-2.609056,0.091346,-0.817802,0.660343
-2.410220,0.100923,-0.808483,0.670358
-2.211304,0.109454,-0.806027,0.676188
-2.012272,0.116097,-0.812741,0.674404
-1.813150,0.121008,-0.817123,0.672822
-1.613971,0.124198,-0.818515,0.676770
-1.414763,0.125815,-0.819051,0.678826
-1.215553,0.126936,-0.806772,0.675181
-1.016347,0.128600,-0.790067,0.666578
-0.817136,0.130545,-0.778241,0.663396
-0.617901,0.131524,-0.779783,0.662389
-0.418651,0.130560,-0.776190,0.661773
-0.219426,0.127128,-0.770118,0.659478
-0.020268,0.121402,-0.770353,0.645720
0.178827,0.114530,-0.775440,0.631510
0.377913,0.108166,-0.774529,0.631657
0.577040,0.104025,-0.782488,0.638479
0.776208,0.103695,-0.796299,0.637891
